year,month,average_ppm
1871,6,288.3366901
1871,7,286.7076335
1871,8,285.1137697
1871,9,285.0831937
1871,10,286.1290203
1871,11,287.1430147
1871,12,287.7905052
1872,1,288.2667974
1872,2,288.6607278
1872,3,289.0135222
1872,4,289.2651607
1872,5,289.2201859
1872,6,288.4991429
1872,7,286.8726231
1872,8,285.2848835
1872,9,285.2599483
1872,10,286.3118383
1872,11,287.3309763
1872,12,287.9821875
1873,1,288.4600378
1873,2,288.8554294
1873,3,289.2089581
1873,4,289.4608551
1873,5,289.4147025
1873,6,288.6915517
1873,7,287.0650733
1873,8,285.4798496
1873,9,285.4569498
1873,10,286.5111081
1873,11,287.5318309
1873,12,288.1836473
1874,1,288.6564719
1874,2,289.0517853
1874,3,289.4055162
1874,4,289.6578748
1874,5,289.6128571
1874,6,288.8914019
1874,7,287.2661435
1874,8,285.6816168
1874,9,285.6600197
1874,10,286.7158462
1874,11,287.7388568
1874,12,288.3936035
1875,1,288.8705516
1875,2,289.2695267
1875,3,289.6269899
1875,4,289.8830065
1875,5,289.8415994
1875,6,289.1235264
1875,7,287.5008746
1875,8,285.9180232
1875,9,285.8974816
1875,10,286.9535995
1875,11,287.9763577
1875,12,288.6304562
1876,1,289.1080534
1876,2,289.5055875
1876,3,289.8612361
1876,4,290.1152354
1876,5,290.0714239
1876,6,289.3508048
1876,7,287.7264657
1876,8,286.1429783
1876,9,286.1220823
1876,10,287.1783902
1876,11,288.2015679
1876,12,288.8561678
1877,1,289.343187
1877,2,289.7400448
1877,3,290.09399
1877,4,290.3458767
1877,5,290.2970354
1877,6,289.5697459
1877,7,287.9450146
1877,8,286.3682234
1877,9,286.3534524
1877,10,287.417053
1877,11,288.4461245
1877,12,289.1042453
1878,1,289.5908331
1878,2,289.9875458
1878,3,290.3402571
1878,4,290.5902684
1878,5,290.5371073
1878,6,289.8039746
1878,7,288.1775768
1878,8,286.6038812
1878,9,286.5914586
1878,10,287.6579267
1878,11,288.6886242
1878,12,289.3465392
1879,1,289.8309382
1879,2,290.2247568
1879,3,290.5738852
1879,4,290.8201147
1879,5,290.761567
1879,6,290.0223323
1879,7,288.3940351
1879,8,286.8232495
1879,9,286.8140156
1879,10,287.8850978
1879,11,288.9202411
1879,12,289.581759
1880,1,290.0650542
1880,2,290.461613
1880,3,290.8135208
1880,4,291.0625677
1880,5,291.0064037
1880,6,290.2692167
1880,7,288.6437272
1880,8,287.0765367
1880,9,287.0704396
1880,10,288.1443805
1880,11,289.1817467
1880,12,289.8447851
1881,1,290.3291646
1881,2,290.72618
1881,3,291.0782232
1881,4,291.32726
1881,5,291.2706443
1881,6,290.5328393
1881,7,288.9078439
1881,8,287.3424648
1881,9,287.3384218
1881,10,288.4149938
1881,11,289.4551341
1881,12,290.1208217
1882,1,290.6090978
1882,2,291.0080501
1882,3,291.3615138
1882,4,291.6115159
1882,5,291.5545819
1882,6,290.8154235
1882,7,289.1901772
1882,8,287.6257653
1882,9,287.6216142
1882,10,288.6973922
1882,11,289.7353814
1882,12,290.3974779
1883,1,290.8777064
1883,2,291.2715015
1883,3,291.6196762
1883,4,291.8643979
1883,5,291.8025695
1883,6,291.0589934
1883,7,289.4293935
1883,8,287.8608181
1883,9,287.8534611
1883,10,288.9270396
1883,11,289.9640598
1883,12,290.6263736
1884,1,291.1060478
1884,2,291.5022693
1884,3,291.8538329
1884,4,292.1026174
1884,5,292.0460267
1884,6,291.308408
1884,7,289.6833534
1884,8,288.1175737
1884,9,288.1130649
1884,10,289.1889755
1884,11,290.2283946
1884,12,290.8934264
1885,1,291.3765623
1885,2,291.775897
1885,3,292.1305983
1885,4,292.3824439
1885,5,292.3292995
1885,6,291.5952924
1885,7,289.9725977
1885,8,288.4077903
1885,9,288.4042564
1885,10,289.4808419
1885,11,290.5211022
1885,12,291.1873085
1886,1,291.6734747
1886,2,292.0742414
1886,3,292.4302908
1886,4,292.6833937
1886,5,292.6314192
1886,6,291.8984856
1886,7,290.2767381
1886,8,288.7127442
1886,9,288.7099097
1886,10,289.7870702
1886,11,290.8278004
1886,12,291.4944222
1887,1,291.9776615
1887,2,292.3793891
1887,3,292.7369214
1887,4,292.9918572
1887,5,292.9429612
1887,6,292.2139549
1887,7,290.5943179
1887,8,289.0303801
1887,9,289.0282024
1887,10,290.1060669
1887,11,291.1484303
1887,12,291.8178468
1888,1,292.3085281
1888,2,292.7141903
1888,3,293.0756367
1888,4,293.3343989
1888,5,293.2889713
1888,6,292.5630513
1888,7,290.9465268
1888,8,289.3856733
1888,9,289.3859458
1888,10,290.4656323
1888,11,291.5089553
1888,12,292.1784788
1889,1,292.6731504
1889,2,293.0768892
1889,3,293.435357
1889,4,293.6905347
1889,5,293.6397182
1889,6,292.9074011
1889,7,291.2877673
