year,month,average_ppm
1956,10,313.4009589
1956,11,314.5067803
1956,12,315.205202
1957,1,315.7097595
1957,2,316.0871504
1957,3,316.401595
1957,4,316.6048094
1957,5,316.4577702
1957,6,315.6044067
1957,7,313.9561797
1957,8,312.472464
1957,9,312.5424536
1957,10,313.7114565
1957,11,314.8248747
1957,12,315.5306786
1958,1,316.043294
1958,2,316.4270119
1958,3,316.7470025
1958,4,316.9549385
1958,5,316.8110141
1958,6,315.9592712
1958,7,314.3128525
1958,8,312.8311953
1958,9,312.9020758
1958,10,314.0718754
1958,11,315.1860516
1958,12,315.8930075
1959,1,316.4035902
1959,2,316.7920675
1959,3,317.1199901
1959,4,317.3395408
1959,5,317.2121181
1959,6,316.3821272
1959,7,314.7615994
1959,8,313.3103362
1959,9,313.417174
1959,10,314.6266982
1959,11,315.7835156
1959,12,316.5348242
1960,1,317.0924197
1960,2,317.5238689
1960,3,317.8916721
1960,4,318.1466263
1960,5,318.0486044
1960,6,317.2406555
1960,7,315.6337528
1960,8,314.1864253
1960,9,314.2874687
1960,10,315.4831309
1960,11,316.6195242
1960,12,317.3454239
1961,1,317.8789489
1961,2,318.2792172
1961,3,318.6151719
1961,4,318.8395693
1961,5,318.7126276
1961,6,317.8796954
1961,7,316.2574746
1961,8,314.8064871
1961,9,314.9116887
1961,10,316.1188906
1961,11,317.2714771
1961,12,318.0163174
1962,1,318.5695444
1962,2,318.990561
1962,3,319.3464352
1962,4,319.5887666
1962,5,319.4753813
1962,6,318.650731
1962,7,317.0332455
1962,8,315.5823992
1962,9,315.6799473
1962,10,316.8737243
1962,11,318.0075325
1962,12,318.7292886
1963,1,319.2574007
1963,2,319.6512247
1963,3,319.9802183
1963,4,320.1976879
1963,5,320.0618121
1963,6,319.2190344
1963,7,317.592653
1963,8,316.1439149
1963,9,316.2515482
1963,10,317.4625834
1963,11,318.6179776
1963,12,319.3634917
1964,1,319.9100402
1964,2,320.3279896
1964,3,320.6792755
1964,4,320.9153251
1964,5,320.7930724
1964,6,319.9569483
1964,7,318.3268892
1964,8,316.8622324
1964,9,316.942838
1964,10,318.1177623
1964,11,319.2312275
1964,12,319.9319359
1965,1,320.4376992
1965,2,320.8125297
1965,3,321.1253072
1965,4,321.3303676
1965,5,321.1867958
1965,6,320.3420913
1965,7,318.7208698
1965,8,317.2854212
1965,9,317.4148888
1965,10,318.6554883
1965,11,319.8467994
1965,12,320.6332683
1966,1,321.2294523
1966,2,321.6939025
1966,3,322.0923206
1966,4,322.3752075
1966,5,322.2969033
1966,6,321.5012643
1966,7,319.9111957
1966,8,318.4852089
1966,9,318.5978158
1966,10,319.7989572
1966,11,320.9319294
1966,12,321.6453586
1967,1,322.1546518
1967,2,322.5308354
1967,3,322.8404475
1967,4,323.0383719
1967,5,322.8836768
1967,6,322.0245284
1967,7,320.3874087
1967,8,318.9351905
1967,9,319.0464387
1967,10,320.2685006
1967,11,321.4409485
1967,12,322.208508
1968,1,322.7804259
1968,2,323.2282534
1968,3,323.6122921
1968,4,323.8832132
1968,5,323.7968581
1968,6,322.9969729
1968,7,321.403524
1968,8,319.9751111
1968,9,320.0895791
1968,10,321.2958851
1968,11,322.4385661
1968,12,323.1668151
1969,1,323.7040818
1969,2,324.1042269
1969,3,324.4419104
1969,4,324.6724601
1969,5,324.5540574
1969,6,323.7355927
1969,7,322.1470978
1969,8,320.7519713
1969,9,320.92582
1969,10,322.2160898
1969,11,323.4595188
1969,12,324.2986568
1970,1,324.9541217
1970,2,325.4678348
1970,3,325.9118744
1970,4,326.2362619
1970,5,326.190855
1970,6,325.4198731
1970,7,323.8550879
1970,8,322.4547771
1970,9,322.5819772
1970,10,323.7886897
1970,11,324.9171383
1970,12,325.6169796
1971,1,326.1127579
1971,2,326.4641107
1971,3,326.7471804
1971,4,326.9202929
1971,5,326.7402625
1971,6,325.8598974
1971,7,324.2224223
1971,8,322.7945026
1971,9,322.9433801
1971,10,324.2213613
1971,11,325.4628987
1971,12,326.310393
1972,1,326.9821643
1972,2,327.5300621
1972,3,328.0241228
1972,4,328.4161153
1972,5,328.4549167
1972,6,327.7870689
1972,7,326.3524625
1972,8,325.1112904
1972,9,325.4207827
1972,10,326.8312605
1972,11,328.1768285
1972,12,329.1003741
1973,1,329.8259699
1973,2,330.3963607
1973,3,330.8875531
1973,4,331.2527996
1973,5,331.2397135
1973,6,330.4968984
1973,7,328.9721435
1973,8,327.6272942
1973,9,327.8138008
1973,10,329.0852761
1973,11,330.2766165
1973,12,331.0330107
1974,1,331.5698557
1974,2,331.9592253
1974,3,332.2683897
1974,4,332.4534535
1974,5,332.2662166
1974,6,331.3578541
1974,7,329.6758914
1974,8,328.184944
1974,9,328.2428192
1974,10,329.4039014
1974,11,330.5033091
1974,12,331.1855704
1975,1,331.6659938
1975,2,332.0130946
1975,3,332.2939741
1975,4,332.463491
1975,5,332.2730602
1975,6,331.3724293
1975,7,329.7058677
1975,8,328.236692
1975,9,328.3237461
1975,10,329.5202002
1975,11,330.66175
1975,12,331.393125
1976,1,331.9256929
1976,2,332.3359979
1976,3,332.6870447
1976,4,332.9332146
1976,5,332.8274309
1976,6,332.0185459
1976,7,330.4457151
1976,8,329.0716559
1976,9,329.2599919
1976,10,330.5622572
1976,11,331.8138677
1976,12,332.657997
1977,1,333.3157453
1977,2,333.8353557
1977,3,334.2896868
1977,4,334.6313899
1977,5,334.6096299
1977,6,333.8719559
1977,7,332.360529
1977,8,331.0364609
1977,9,331.2562758
1977,10,332.5713935
1977,11,333.817442
1977,12,334.6395363
1978,1,335.2573108
1978,2,335.7308076
1978,3,336.1314831
1978,4,336.41465
1978,5,336.3316308
1978,6,335.5327424
1978,7,333.9639835
1978,8,332.5891585
1978,9,332.766119
1978,10,334.0486453
1978,11,335.2720386
1978,12,336.0808226
1979,1,336.7063997
1979,2,337.1822882
1979,3,337.5920328
1979,4,337.8914155
1979,5,337.8279169
1979,6,337.0532315
1979,7,335.5238957
1979,8,334.2044484
1979,9,334.4417949
1979,10,335.791592
1979,11,337.084046
1979,12,337.9603187
1980,1,338.6517724
1980,2,339.1868085
1980,3,339.6493099
1980,4,339.9939316
1980,5,339.9626059
1980,6,339.2068313
1980,7,337.6923408
1980,8,336.3828183
1980,9,336.6123359
1980,10,337.9373256
1980,11,339.1852519
1980,12,339.998043
1981,1,340.6079842
1981,2,341.0494629
1981,3,341.4075976
1981,4,341.6398949
1981,5,341.4876385
1981,6,340.6059156
1981,7,338.9714827
1981,8,337.55109
1981,9,337.6723949
1981,10,338.8958595
1981,11,340.0477168
1981,12,340.7703355
1982,1,341.2925453
1982,2,341.6619414
1982,3,341.9603414
1982,4,342.1470729
1982,5,341.963744
1982,6,341.067578
1982,7,339.4406466
1982,8,338.0516128
1982,9,338.2259932
1982,10,339.5264253
1982,11,340.7762533
1982,12,341.6132145
1983,1,342.2729834
1983,2,342.7754805
1983,3,343.2097395
1983,4,343.5318483
1983,5,343.4753437
1983,6,342.6952272
1983,7,341.181614
1983,8,339.9002247
1983,9,340.1605428
1983,10,341.523856
1983,11,342.8090662
1983,12,343.655441
1984,1,344.2184295
1984,2,344.7017235
1984,3,345.112579
1984,4,345.4055562
1984,5,345.334858
1984,6,344.5492836
1984,7,342.9855964
1984,8,341.6066249
1984,9,341.7790868
1984,10,343.0547583
1984,11,344.2717821
1984,12,345.0751163
1985,1,345.6531811
1985,2,346.1285446
1985,3,346.5405145
1985,4,346.8406643
1985,5,346.7888515
1985,6,346.0290683
1985,7,344.4749127
1985,8,343.0856951
1985,9,343.2480267
1985,10,344.5076235
1985,11,345.7092242
1985,12,346.5011385
1986,1,347.1452127
1986,2,347.6062737
1986,3,347.9980657
1986,4,348.2762502
1986,5,348.1893382
1986,6,347.388661
1986,7,345.827946
1986,8,344.4715407
1986,9,344.6692776
1986,10,345.9764692
1986,11,347.2257782
1986,12,348.0605641
1987,1,348.6958438
1987,2,349.2005335
1987,3,349.641663
1987,4,349.9742802
1987,5,349.9474778
1987,6,349.2117216
1987,7,347.7173322
1987,8,346.4279697
1987,9,346.6960199
1987,10,348.0757544
1987,11,349.4000657
1987,12,350.3107068
1988,1,351.063667
1988,2,351.632476
1988,3,352.1260408
1988,4,352.4998586
1988,5,352.4908293
1988,6,351.7525309
1988,7,350.265256
1988,8,348.9938916
1988,9,349.2577984
1988,10,350.6162125
1988,11,351.8906602
1988,12,352.7219742
1989,1,353.3827003
1989,2,353.826573
1989,3,354.1803219
1989,4,354.4064524
1989,5,354.2337478
1989,6,353.3259798
1989,7,351.7057672
1989,8,350.3459351
1989,9,350.5328058
1989,10,351.8380244
1989,11,353.0737317
1989,12,353.8750173
1990,1,354.559588
1990,2,354.9813726
1990,3,355.31452
1990,4,355.5252023
1990,5,355.3175598
1990,6,354.3649939
1990,7,352.7598929
1990,8,351.4804889
1990,9,351.7418184
1990,10,353.1293025
1990,11,354.4300954
1990,12,355.2703259
1991,1,355.8052964
1991,2,356.2468672
1991,3,356.6052096
1991,4,356.8410226
1991,5,356.6796812
1991,6,355.7834882
1991,7,354.1769954
1991,8,352.8313198
1991,9,353.0267372
1991,10,354.3336583
1991,11,355.561112
1991,12,356.3438304
1992,1,356.9569811
1992,2,357.3491001
1992,3,357.6509215
1992,4,357.8268755
1992,5,357.5917145
1992,6,356.6144958
1992,7,354.9570202
1992,8,353.5950188
1992,9,353.7744938
1992,10,355.0747132
1992,11,356.2937235
1992,12,357.0623291
1993,1,357.6910984
1993,2,358.0576987
1993,3,358.3301791
1993,4,358.4782693
1993,5,358.1983054
1993,6,357.1696394
1993,7,355.5147485
1993,8,354.2161213
1993,9,354.4622686
1993,10,355.8462264
1993,11,357.1470438
1993,12,357.9879075
1994,1,358.6152344
1994,2,359.0483702
1994,3,359.391561
1994,4,359.6136606
1994,5,359.4093448
1994,6,358.457255
1994,7,356.880824
1994,8,355.6617128
1994,9,355.9854794
1994,10,357.4445642
1994,11,358.8163608
1994,12,359.7231792
1995,1,360.5454543
1995,2,361.0136554
1995,3,361.3692155
1995,4,361.5897711
1995,5,361.3354976
1995,6,360.3029362
1995,7,358.7253748
1995,8,357.5959187
1995,9,357.9943061
1995,10,359.5372173
1995,11,360.9665679
1995,12,361.8915625
1996,1,362.4688585
1996,2,362.9241129
1996,3,363.273165
1996,4,363.4871344
1996,5,363.2527994
1996,6,362.2532079
1996,7,360.6377907
1996,8,359.3910992
1996,9,359.6740482
1996,10,361.0849731
1996,11,362.3931548
1996,12,363.2191934
1997,1,363.9364735
1997,2,364.3048836
1997,3,364.5595628
1997,4,364.6830416
1997,5,364.3348218
1997,6,363.2175112
1997,7,361.5822906
1997,8,360.4275015
1997,9,360.8230368
1997,10,362.3924583
1997,11,363.8768697
1997,12,364.8850902
1998,1,365.6055346
1998,2,366.1832838
1998,3,366.6664219
1998,4,367.0245345
1998,5,366.9265866
1998,6,366.0575214
1998,7,364.6032514
1998,8,363.5477954
1998,9,364.0074295
1998,10,365.5847688
1998,11,367.0309001
1998,12,367.9574683
1999,1,368.7721408
1999,2,369.1675102
1999,3,369.4160026
1999,4,369.5065854
1999,5,369.0801112
1999,6,367.8509084
1999,7,366.1351724
1999,8,364.9392239
1999,9,365.2729727
1999,10,366.7753762
1999,11,368.1683252
1999,12,369.0553685
2000,1,369.7854743
2000,2,370.1806611
2000,3,370.4653326
2000,4,370.6171665
2000,5,370.3029306
2000,6,369.2178221
2000,7,367.5795741
2000,8,366.380193
2000,9,366.716031
2000,10,368.2006967
2000,11,369.5820708
2000,12,370.4718075
2001,1,371.2436185
2001,2,371.6553378
2001,3,371.9443397
2001,4,372.0952003
2001,5,371.7451536
2001,6,370.6039742
2001,7,368.9817349
2001,8,367.8807561
2001,9,368.3091548
2001,10,369.9017745
2001,11,371.3774582
2001,12,372.3373784
2002,1,373.0261727
2002,2,373.4916462
2002,3,373.8419101
2002,4,374.0601682
2002,5,373.7914272
2002,6,372.7421629
2002,7,371.1995945
2002,8,370.1623373
2002,9,370.6581873
2002,10,372.3141329
2002,11,373.8537812
2002,12,374.8784108
2003,1,375.5358221
2003,2,376.0708551
2003,3,376.4919073
2003,4,376.7715431
2003,5,376.582006
2003,6,375.6111551
2003,7,374.0471824
2003,8,372.8779799
2003,9,373.22741
2003,10,374.7053489
2003,11,376.0705567
2003,12,376.9401738
2004,1,377.6460111
2004,2,378.0399977
2004,3,378.3157728
2004,4,378.4552866
2004,5,378.1164402
2004,6,377.0014757
2004,7,375.3633765
2004,8,374.1998249
2004,9,374.5755706
2004,10,376.1109499
2004,11,377.5424201
2004,12,378.476904
2005,1,379.2091208
2005,2,379.6682154
2005,3,380.0117747
2005,4,380.2208262
2005,5,379.9423376
2005,6,378.8797373
2005,7,377.308463
2005,8,376.2260317
2005,9,376.6716259
2005,10,378.2712474
2005,11,379.7532256
2005,12,380.7214541
2006,1,381.4153196
2006,2,381.8858752
2006,3,382.2348681
2006,4,382.441484
2006,5,382.159612
2006,6,381.0889927
2006,7,379.4827599
2006,8,378.3360496
2006,9,378.7096431
2006,10,380.2265372
2006,11,381.6249077
2006,12,382.5140345
2007,1,383.2188341
2007,2,383.6125314
2007,3,383.8836402
2007,4,384.0179869
2007,5,383.6575373
2007,6,382.512583
2007,7,380.8862443
2007,8,379.7814396
2007,9,380.2161577
2007,10,381.8227745
2007,11,383.3199294
2007,12,384.3066377
2008,1,385.0220516
2008,2,385.5146196
2008,3,385.8866472
2008,4,386.117332
2008,5,385.8514483
2008,6,384.7906709
2008,7,383.209456
2008,8,382.1035124
2008,9,382.5092299
2008,10,384.0518186
2008,11,385.4624087
2008,12,386.3490282
2009,1,387.0851624
2009,2,387.4471159
2009,3,387.6737591
2009,4,387.7572578
2009,5,387.3229946
2009,6,386.0924286
2009,7,384.4285475
2009,8,383.3420182
2009,9,383.7965194
2009,10,385.4406959
2009,11,386.9769423
2009,12,387.9967867
2010,1,388.6894597
2010,2,389.2154425
2010,3,389.6277452
2010,4,389.9058542
2010,5,389.6903485
2010,6,388.6841362
2010,7,387.1724313
2010,8,386.1515073
2010,9,386.646172
2010,10,388.2826149
2010,11,389.7839134
2010,12,390.7547262
2011,1,391.5503745
2011,2,391.9831701
2011,3,392.2737772
2011,4,392.4126843
2011,5,392.0249833
2011,6,390.8301637
2011,7,389.1862972
2011,8,388.1022881
2011,9,388.5438098
2011,10,390.157512
2011,11,391.6490065
2011,12,392.6141094
2012,1,393.3682018
2012,2,393.8102309
2012,3,394.1220776
2012,4,394.2943543
2012,5,393.9409979
2012,6,392.7839977
2012,7,391.2078877
2012,8,390.2223899
2012,9,390.7634374
2012,10,392.4818318
2012,11,394.0718914
2012,12,395.1246143
2013,1,395.8041875
2013,2,396.3324324
2013,3,396.7373473
2013,4,396.9998483
2013,5,396.7616807
2013,6,395.7272378
2013,7,394.1837806
2013,8,393.1290286
2013,9,393.5885195
2013,10,395.1899654
2013,11,396.6563536
2013,12,397.5893703
2014,1,398.4102333
2014,2,398.7906466
2014,3,399.0200533
2014,4,399.0946132
2014,5,398.6239282
2014,6,397.3376165
2014,7,395.6488352
2014,8,394.5734612
2014,9,395.0268101
2014,10,396.6687597
2014,11,398.1890742
2014,12,399.1796918
2015,1,399.56
2015,2,400.12
2015,3,400.57
2015,4,400.96
2015,5,400.91
2015,6,400.06
2015,7,398.37
2015,8,397.06
2015,9,397.34
2015,10,398.8
2015,11,400.37
2015,12,401.66
2016,1,402.64
2016,2,403.27
2016,3,403.86
2016,4,404.39
2016,5,404.45
2016,6,403.66
2016,7,402.11
2016,8,400.8
2016,9,400.99
2016,10,402.42
2016,11,403.78
2016,12,404.69
2017,1,405.32
2017,2,405.91
2017,3,406.32
2017,4,406.61
2017,5,406.65
2017,6,405.86
2017,7,404.11
2017,8,402.57
2017,9,402.66
2017,10,404.16
2017,11,405.7
2017,12,406.75
2018,1,407.56
2018,2,408.24
2018,3,408.77
2018,4,409.08
2018,5,408.94
2018,6,408.06
2018,7,406.47
2018,8,405.1
2018,9,405.17
2018,10,406.65
2018,11,408.13
2018,12,409.18
2019,1,409.92
2019,2,410.35
2019,3,410.89
2019,4,411.33
2019,5,411.34
2019,6,410.53
2019,7,408.88
2019,8,407.65
2019,9,407.92
2019,10,409.44
2019,11,410.87
2019,12,411.76
2020,1,412.43
2020,2,412.95
2020,3,413.44
2020,4,413.86
2020,5,413.81
2020,6,412.88
2020,7,411.17
2020,8,409.73
2020,9,410
2020,10,411.66
2020,11,413.25
2020,12,414.14
2021,1,414.74
2021,2,415.21
2021,3,415.51
2021,4,415.82
2021,5,416.01
2021,6,415.2
2021,7,413.45
2021,8,412.16
2021,9,412.38
2021,10,413.84
2021,11,415.59
2021,12,416.61
2022,1,417.21
2022,2,417.67
2022,3,418.05
2022,4,418.42
2022,5,418.41
2022,6,417.5
2022,7,415.82
2022,8,414.46
2022,9,414.59
2022,10,416.12
2022,11,417.72
2022,12,418.75
2023,1,419.37
2023,2,419.72
2023,3,420.13
